Country,trend_income_index,trend_job_index,trend_cost_index,trend_health_env_index,trend_safety_index,trend_social_index,trend_mobility_index
Albania,0.1287417996591558,0.25036005732189764,0.20199057239959245,0.5959400024463406,0.6501465557033688,0.4195999385206338,0.41670481809285276
Andorra,0.3905842514093474,0.0983073203248296,0.26197795458478207,0.9085564673010975,0.4922536312273708,0.4195999385206338,0.4167048180928526
Austria,0.4141947635860824,0.3787339436667631,0.46159932473522924,0.4917440694077144,0.6861754710887812,0.5311783108281481,0.47940976210624686
Azerbaijan,0.13117224094984964,0.07259348386976912,0.26197795458478207,0.8791239501385185,0.45202923454900695,0.4195999385206338,0.4167048180928526
Belarus,0.02436433451011803,0.0983073203248296,0.33311788909826934,0.6243100598379228,0.4922536312273707,0.4195999385206338,0.43386344037369723
Belgium,0.44287212806419457,0.40906142378573884,0.49729815930922255,0.10944167329098198,0.609378525014792,0.5860251118688959,0.20536600779409261
Bosnia and Herzegovina,0.10270292601971526,0.627306824267272,0.30880759636139665,0.48340937576998944,0.49401791540313966,0.4195999385206338,0.2803149248805643
Bulgaria,0.21956273227850304,0.48821166779005454,0.11042266376740295,0.44571879231067424,0.516596554409258,0.0,0.49641022369496945
Croatia,0.23215445628350914,0.5869983451462898,0.3310282112358262,0.44614665745968507,0.6367223151058672,0.7674699976703424,0.5869314365017448
Czechia,0.41145231960404743,0.4631359313857532,0.5153808183804272,0.5492105808880118,0.6352781976538073,0.37256455428175905,0.4806822658879245
Denmark,0.6016629523835126,0.47033223541756985,0.9351356239997999,0.4877258090243972,0.7489832402021407,0.33640864872246556,0.3158423833752848
Estonia,0.30323630620874503,0.4501776603305508,0.1305706743821303,0.4442377358847164,0.9317407590255347,0.4607219930017154,1.0
Finland,0.5507699062735116,0.45174483121517506,0.9016894227228809,0.3645500106874042,0.7757357904016235,0.4624330740791326,0.7726218393739086
France,0.06589332040875905,0.5553332505801949,0.5043358452907786,0.23990777282261078,0.6253681295959829,0.1902325696293425,0.32297168584345975
Germany,0.2447715784235664,0.43477406533336105,0.9273972553307221,0.3765179827092153,0.7001232588775071,0.5032534090305987,0.3780649882354911
Greece,0.29557280581077755,1.0,0.27488181658322886,0.13979952129802822,0.6425900009591495,0.7353631985185656,0.28007379691643086
Guernsey,0.02436433451011803,0.0983073203248296,0.5531883260022833,0.38257435111470234,0.4922536312273707,0.4195999385206338,0.4167048180928526
Hungary,0.3424135162673229,0.5245686616333771,0.38517023345684864,0.4061307471674027,0.732647705071097,0.5213171907039987,0.29583961040696327
Iceland,0.6135109818741773,0.5367499138254042,0.8448073293895062,0.0,0.9376453977825229,0.4851989274860329,0.3290187797782491
Ireland,0.20835784311724673,0.4007783774210101,0.35218721172016987,0.5115329531863819,0.49957393708840403,0.413389371637924,0.35693576970351115
Isle Of Man,0.02436433451011803,0.0983073203248296,0.27887086292188573,0.38257435111470234,0.4922536312273707,0.4195999385206338,0.4167048180928526
Italy,0.257964210804682,0.5466266917889613,0.44132933951396847,0.24154487903971505,0.5259485638687271,0.48384807744900693,0.606931346814156
Jersey,0.02436433451011803,0.0983073203248296,0.6482616224842629,0.38257435111470234,0.4922536312273707,0.4195999385206338,0.4167048180928526
Kosovo (Disputed Territory),0.02436433451011803,0.0983073203248296,0.24761069141479364,0.38257435111470234,0.4922536312273707,0.4195999385206338,0.4167048180928526
Latvia,0.30346340483052603,0.4799666160180609,0.2789723078285615,0.3887650167810703,1.0000000000000002,0.621531481024495,0.7332356165100662
Liechtenstein,0.02436433451011803,0.0983073203248296,0.26197795458478207,0.4775393992513919,0.0,0.4195999385206338,0.4167048180928526
Lithuania,0.38252466815154007,0.4455609341518327,0.5328763563586497,0.48184818629263376,0.8570037561883488,0.66813405005123,0.742483388953352
Luxembourg,1.0,0.4425189314520173,0.7351413607028092,0.05248060894270862,0.9452015718595397,0.4735011676638441,0.6876348875775707
Malta,0.20369564835062184,0.17560917674276744,0.4389950246930661,0.10631133453526459,0.6214444198222664,0.4195999385206338,0.46696736285646584
Moldova,0.02436433451011803,0.0983073203248296,0.24527908546948046,0.38257435111470234,0.4922536312273707,0.4195999385206338,0.4167048180928526
Monaco,0.02436433451011803,0.0983073203248296,0.26197795458478207,0.9750023993136347,0.4922536312273707,0.4195999385206338,0.4167048180928526
Montenegro,0.1347448288607092,0.20487980236737108,0.185066311225919,0.8794309922591833,0.8431559799898879,0.4195999385206338,0.4167048180928526
Netherlands,0.7005453289861876,0.4926128582113798,1.0,0.5273638047155602,0.674023964094674,0.40328775645342013,0.9718242695934987
North Macedonia,0.02436433451011803,0.0983073203248296,0.2760849892113341,0.4774589593593995,0.4922536312273707,0.4195999385206338,0.6302195035211078
Norway,0.6268551395636248,0.433331179974452,0.2783616864276923,0.3007230834236657,0.7122705256970892,0.4388928455556551,0.5303256424047927
Poland,0.29171866111022055,0.5120874487115987,0.20636803872329545,0.3067626749360315,0.5367552983077324,0.9262243519640214,0.3764758194764762
Portugal,0.41341058617142806,0.5538985455748795,0.8295207161329976,0.2670408770053067,0.806576768657769,0.5864309284172682,0.4821742466191192
Romania,0.23243344337487726,0.20131312274115878,0.07054073122694807,0.30519146518215273,0.6354988489271006,1.0,0.38987292167417315
Russia,0.02436433451011803,0.0983073203248296,0.40503119358015105,0.4385075251824045,0.4922536312273707,0.4195999385206338,0.7163748303977397
San Marino,0.2643708434308593,0.0983073203248296,0.26197795458478207,1.0,0.4922536312273707,0.4195999385206338,0.4167048180928526
Serbia,0.15215535699227473,0.40231075528539706,0.19688006004073483,0.3455289321989452,0.5108561030535186,0.4195999385206338,0.3056904780070607
Slovakia,0.3166261301377084,0.5758497570671866,0.4284338230599466,0.4468862344592578,0.6455986415600564,0.6105188714700052,0.8186871331421861
Slovenia,0.41065652468689096,0.5123786273046467,0.3330405383812134,0.41959719788057503,0.6849303326546199,0.49309157285367483,0.5140588088042823
Spain,0.1768131096323529,0.727357427947529,0.37142745186080106,0.3669279994281048,0.6746282412226263,0.42709268396999034,0.5917693575115635
Sweden,0.56570654512118,0.4692128907279931,0.5136709794305279,0.34968063227951857,0.7239371203207839,0.48022853926647013,0.4168231545316116
Switzerland,0.5896142862788736,0.49747485862265073,0.0,0.23528912738243862,0.7114744515358083,0.18206425029144652,0.0
Ukraine,0.09710025832148131,0.0,0.27493956558245597,0.1898000996448689,0.5745587754604485,0.4195999385206338,0.4502294068598503
United Kingdom,0.0,0.40306928771830575,0.3379606367136011,0.19082228805061827,0.8027914760480303,0.08507094003561588,0.4705610114417862
